Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/70.sql, Simplify Expressions, 1000, 5.78211, 16.1103
Indexed Algebra, scripts/hugejoin/queries/70.sql, Unnesting, 1000, 4.56067, 34.9856
Indexed Algebra, scripts/hugejoin/queries/70.sql, Predicate Pushdown, 1000, 31.7959, 178.372
Indexed Algebra, scripts/hugejoin/queries/70.sql, Side-way Information Passing, 1000, 0.00262038, 0.026301
Indexed Algebra, scripts/hugejoin/queries/70.sql, Cardinality Estimation, 1000, 3.81421, 39.8934
Indexed Algebra, scripts/hugejoin/queries/70.sql, Join Ordering, 1000, 38.8201, 394.545
Indexed Algebra, scripts/hugejoin/queries/70.sql, Common Subtree Elimination, 1000, 0.00452826, 0.032164
Indexed Algebra, scripts/hugejoin/queries/70.sql, Physical Planning, 1000, 18.5927, 144.869
Indexed Algebra, scripts/hugejoin/queries/70.sql, Total, 1000, 76.6405, 823.037
Indexed Algebra, scripts/hugejoin/queries/80.sql, Simplify Expressions, 1000, 6.10227, 18.7768
Indexed Algebra, scripts/hugejoin/queries/80.sql, Unnesting, 1000, 5.92011, 40.4314
Indexed Algebra, scripts/hugejoin/queries/80.sql, Predicate Pushdown, 1000, 30.5207, 200.029
Indexed Algebra, scripts/hugejoin/queries/80.sql, Side-way Information Passing, 1000, 0.00253873, 0.026293
Indexed Algebra, scripts/hugejoin/queries/80.sql, Cardinality Estimation, 1000, 5.90402, 45.7173
Indexed Algebra, scripts/hugejoin/queries/80.sql, Join Ordering, 1000, 44.269, 489.405
Indexed Algebra, scripts/hugejoin/queries/80.sql, Common Subtree Elimination, 1000, 0.00579029, 0.033337
Indexed Algebra, scripts/hugejoin/queries/80.sql, Physical Planning, 1000, 21.4919, 177.928
Indexed Algebra, scripts/hugejoin/queries/80.sql, Total, 1000, 90.5242, 986.496
Indexed Algebra, scripts/hugejoin/queries/90.sql, Simplify Expressions, 1000, 8.35026, 22.0633
Indexed Algebra, scripts/hugejoin/queries/90.sql, Unnesting, 1000, 13.9018, 46.6128
Indexed Algebra, scripts/hugejoin/queries/90.sql, Predicate Pushdown, 1000, 56.6727, 231.773
Indexed Algebra, scripts/hugejoin/queries/90.sql, Side-way Information Passing, 1000, 0.00254566, 0.026225
Indexed Algebra, scripts/hugejoin/queries/90.sql, Cardinality Estimation, 1000, 13.1756, 52.3877
Indexed Algebra, scripts/hugejoin/queries/90.sql, Join Ordering, 1000, 77.9717, 598.862
Indexed Algebra, scripts/hugejoin/queries/90.sql, Common Subtree Elimination, 1000, 0.010038, 0.038168
Indexed Algebra, scripts/hugejoin/queries/90.sql, Physical Planning, 1000, 39.2621, 207.709
Indexed Algebra, scripts/hugejoin/queries/90.sql, Total, 1000, 166.752, 1180.38
Indexed Algebra, scripts/hugejoin/queries/100.sql, Simplify Expressions, 1000, 7.24523, 23.9724
