Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, queries.sql, Unnesting, 100, 0.097645, 1.06667
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.219987, 6.04375
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00249592, 0.03848
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.0785419, 1.84151
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0201114, 0.6405
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0360344, 0.51123
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0130145, 0.15911
Indexed Algebra, queries.sql, Total, 100, 0.293205, 13.4325
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.13776, 2.71175
Indexed Algebra, queries.sql, Unnesting, 100, 0.338708, 1.07873
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.233149, 6.0178
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00314088, 0.03857
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.0781001, 1.83124
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0225826, 0.63819
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0536502, 0.51682
Indexed Algebra, queries.sql, Physical Planning, 100, 0.00978129, 0.15992
Indexed Algebra, queries.sql, Total, 100, 0.467058, 13.4348
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.861438, 7.11838
Indexed Algebra, queries.sql, Unnesting, 100, 0.121661, 3.4929
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 1.26929, 13.4841
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00265094, 0.03845
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 2.02218, 14.0319
Indexed Algebra, queries.sql, Join Ordering, 100, 2.20738, 18.4626
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.167164, 2.09185
Indexed Algebra, queries.sql, Physical Planning, 100, 0.369834, 4.8849
Indexed Algebra, queries.sql, Total, 100, 6.02371, 64.089
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.759754, 4.22838
Indexed Algebra, queries.sql, Unnesting, 100, 0.0858888, 2.38732
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.564289, 12.2287
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00284612, 0.03786
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 1.11909, 13.1657
Indexed Algebra, queries.sql, Join Ordering, 100, 0.954592, 17.666
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.124154, 2.03921
Indexed Algebra, queries.sql, Physical Planning, 100, 0.230388, 4.38618
Indexed Algebra, queries.sql, Total, 100, 2.72447, 56.6339
Indexed Algebra, queries.sql, Simplify Expressions, 100, 1.30087, 19.8624
Indexed Algebra, queries.sql, Unnesting, 100, 0.0972741, 4.91854
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.419769, 13.951
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00139642, 0.0385
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.345569, 8.49871
Indexed Algebra, queries.sql, Join Ordering, 100, 0.161972, 3.31649
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0489299, 2.00111
Indexed Algebra, queries.sql, Physical Planning, 100, 0.188225, 2.86915
Indexed Algebra, queries.sql, Total, 100, 1.88802, 55.9224
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.742527, 13.133
Indexed Algebra, queries.sql, Unnesting, 100, 0.136971, 3.22919
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.3539, 9.39109
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00133806, 0.03836
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 1.06219, 17.3359
Indexed Algebra, queries.sql, Join Ordering, 100, 0.416736, 3.07683
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.17154, 2.19232
Indexed Algebra, queries.sql, Physical Planning, 100, 0.283686, 2.56627
Indexed Algebra, queries.sql, Total, 100, 1.27882, 51.4356
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.170881, 2.71278
Indexed Algebra, queries.sql, Unnesting, 100, 0.0987424, 1.06355
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.267253, 6.06057
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00205426, 0.038
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.0902168, 1.87515
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0281831, 0.66082
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0530821, 0.54701
Indexed Algebra, queries.sql, Physical Planning, 100, 0.00670883, 0.15946
Indexed Algebra, queries.sql, Total, 100, 0.426491, 13.557
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.174077, 2.72967
Indexed Algebra, queries.sql, Unnesting, 100, 0.120073, 1.05037
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.787845, 6.12583
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00224666, 0.03825
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.104736, 1.86651
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0397808, 0.66019
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0654512, 0.54707
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0092759, 0.15924
Indexed Algebra, queries.sql, Total, 100, 0.891028, 13.6161
Indexed Algebra, queries.sql, Simplify Expressions, 100, 1.01309, 17.2321
Indexed Algebra, queries.sql, Unnesting, 100, 0.81998, 5.6234
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 2.21446, 19.0259
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00212368, 0.0387
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 2.72333, 15.8896
Indexed Algebra, queries.sql, Join Ordering, 100, 3.19664, 20.4394
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.324603, 2.70987
Indexed Algebra, queries.sql, Physical Planning, 100, 1.52153, 6.12979
Indexed Algebra, queries.sql, Total, 100, 9.03365, 87.5809
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.692868, 13.6052
Indexed Algebra, queries.sql, Unnesting, 100, 0.0678474, 4.47835
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.432002, 17.4932
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00155164, 0.03882
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.897156, 14.7589
Indexed Algebra, queries.sql, Join Ordering, 100, 1.14233, 19.1454
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.135563, 2.58791
Indexed Algebra, queries.sql, Physical Planning, 100, 0.265695, 5.47293
Indexed Algebra, queries.sql, Total, 100, 1.73969, 78.0754
Indexed Algebra, queries.sql, Simplify Expressions, 100, 1.14451, 13.2363
Indexed Algebra, queries.sql, Unnesting, 100, 0.202462, 3.22423
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.35112, 9.48596
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00182417, 0.03818
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 1.31153, 17.807
Indexed Algebra, queries.sql, Join Ordering, 100, 0.222842, 3.05614
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.152599, 2.23258
Indexed Algebra, queries.sql, Physical Planning, 100, 1.0209, 2.67195
Indexed Algebra, queries.sql, Total, 100, 2.26245, 52.2341
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.498231, 13.9255
Indexed Algebra, queries.sql, Unnesting, 100, 0.0581438, 4.50972
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.822527, 17.8189
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00123592, 0.03885
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.674791, 14.8952
Indexed Algebra, queries.sql, Join Ordering, 100, 1.11744, 19.3974
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.100839, 2.58153
Indexed Algebra, queries.sql, Physical Planning, 100, 0.267411, 5.6118
Indexed Algebra, queries.sql, Total, 100, 2.62267, 79.2753
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.923078, 20.045
Indexed Algebra, queries.sql, Unnesting, 100, 0.383265, 4.98152
